Artist Name,Artist Major,Project Title,Project Date,Project Genre,Project Description,Project Link,All Fields Filled,Date Validation,Link Validation,,Base URL,Last Update To Sheet
Alexa Jones,Computer Science & Mechanical Engineering,Psyche Sticker Mayhem,2025-06-05,"Procreate, StickerApp for Printing","In my “Psyche Sticker Mayhem” project, inspiration for the work came from my growing attachment to the Psyche character I created in my previous projects. To me, she became not just a figure to represent the spacecraft but instead represented the energy of the mission itself. I wanted to reflect the scientific character of the Psyche mission and a fun, approachable attitude that would appeal to a broader audience.

The stickers were meant to have Psyche-related phrases, such as “metal to the core,” which relates to the fact that (16) Psyche is a metal alloy asteroid thought to be the core of a planetesimal. I then drew my Psyche character playing an electric guitar with magnetic waves radiating off her. I also included unique materials for these stickers, such as applying a holographic effect for the magnetic waves. In another sticker with the Psyche character’s head and the words “Psyche out of your Mind,” I made half of her head the Psyche asteroid (her mind) have a metallic effect on the physical sticker

I used Procreate to create the artwork. After I finalized the designs, I printed out the stickers with the StickersApp website, ensuring the stickers were of high quality and ready for mass distribution.",https://psyche.ssl.berkeley.edu/gallery/psyche-sticker-mayhem/,,,,,,
Rebecca Farmer,Music (Composition),Tapestry of Psyche,2025-05-29,Crochet Tapestry,"“Tapestry of Psyche” is a one-of-a-kind crochet tapestry made up of 3,680 stitches that brings together the elegance of medieval artistry with the wonders of space exploration. This handmade piece is crafted with yarns inspired by the vivid colors of the NASA Psyche mission, capturing the awe and mystery of the Psyche spacecraft’s journey to a unique asteroid.

The tapestry features a whimsical design, with intricate details of the Psyche spacecraft floating amidst a starry sky, accompanied by a soft, dreamlike cloud. The pixelated graphic of “Psyche” adds a modern, digital touch to the piece, blending the ancient with the futuristic in a way that mirrors the mission itself. Just as medieval tapestries told stories of distant lands and mythic adventures, this work of art weaves together the story of space, science, and imagination.

Each stitch is carefully made, using rich, textured yarns to evoke the grandeur of the cosmos, while the pixelated design nods to the digital age. This tapestry is a tribute to the ongoing quest for knowledge, the beauty of the unknown, and the timeless wonder of discovery.",https://psyche.ssl.berkeley.edu/gallery/tapestry-of-psyche/,,,,,,
Veronica Keff," Astrophysics, Minor in Mathematics",In the Laughter of the Stars,2025-05-27,"Watercolor, Metallic ink","“In the Laughter of the Stars” is a watercolor and metallic ink piece that recalls the classic story of The Little Prince by Antoine de Saint Exupéry and illustrates the childlike wonder of space exploration.

“All men have the stars but they are not the same things for different people. For some, who are travelers, the stars are guides. For others they are no more than little lights in the sky. For others, who are scholars, they are problems. For businessmen they are wealth. But all these stars are silent.… only you will have stars that laugh” (Exupéry, 1938)

The stars only bear the meaning we assign to them, and to scientists and children alike, they are full of laughter. The Psyche mission and the hard work of those behind it demonstrates humanity’s extraordinary ability to seek wonder and meaning in the worlds around us.",https://psyche.ssl.berkeley.edu/gallery/in-the-laughter-of-the-stars/,,,,,,
Injir Batmunkh,Scientific Illustration and Visualization,16 Psyche in 3D,2025-05-20,"Digital media, Adobe Illustrator, Photoshop, Aero","For my fourth project, “16 Psyche in 3D,” I created a 3D poster that can be viewed through a camera using augmented reality (AR). This project was exciting because I had the opportunity to learn how to design and make a model that is camera-readable. I used Adobe series software for designing.",https://psyche.ssl.berkeley.edu/gallery/16-psyche-in-3d/,,,,,,
Hoang Nguyen,Astronomy,Childhood of the Planets,2025-05-16,Digital Illustration,"Now having established a visual code to convey hidden meaning, I invert the situation from The Artifact—Psyche the spacecraft recedes back to an observer role, and the planets take center stage. After all, Psyche’s dream is the main focus of the image: the planets, still forming in the accretion disk, the little planetary nursery, run counterclockwise around the Sun—we remember the counterclockwise motion in The Artifact, turning back the clock and looking at a scene from the solar system’s history.

The spacecraft watches this scene from beyond a haze of surreality. I wanted to paint almost as if Psyche were seeing it by candlelight, which is how Baroque paintings would have been viewed in their time. In my mind, it gives a sense of closeness with the planets’ history.
Some familiar figures make themselves known in each corner of the image: Psyche the spacecraft facing the Sun, the android I’ve become so used to drawing, the inner solar system seen on a glance back, and a mysterious veiled someone who has appeared before, in a different form, and who reappears here to smile on the scene, the unveiling of history.
Psyche might have been a part of a planetesimal, a small body that could grow to become a planet. If that were the case, what could we learn about the childhood of the planets? This is the idea around which I built the piece, but at the bottom of the frame, a sleeping lamb reminds us that this is still only a theory, while at the top, the image of the asteroid reminds us of the destination. In this scene glowing gold with a promise of discovery, we continue to dream of what’s to come.",https://psyche.ssl.berkeley.edu/gallery/childhood-of-the-planets/,,,,,,
Therese Manesia Cook,Physics,Chibi Psyche,2025-05-08,Digital/Procreate,"My third project, called “Chibi Psyche,” imagines the spacecraft as a mini cartoon character. When designing this, I drew inspiration from the very cute mascot characters that the Japan Aerospace Exploration Agency (JAXA) has created for its space missions.

I did my best to include the most important spacecraft components I learned about in the design. It was amusing to squish the huge set of cross-shaped solar panels way down into tiny chibi-form. I thought that the big X-band radio antenna on the spacecraft would be perfect to act as Chibi Psyche’s face, and that the two booms beneath it (with Psyche’s spectrometer and magnetometer instruments) could be her arms. The two dots below her chin represent the multispectral imager, and the big gold-and-silver tube on top is Psyche’s DSOC flight laser transceiver. (Also, the numerous little rectangles patterning the sides of the spacecraft–as I finally found out–are things called louver boxes, which help keep Psyche the right temperature as it travels further from the Sun.)

To frame the character in the final piece, I added a backdrop of the asteroid 16 Psyche, as well as a cool blue trail of glowing xenon plasma coming from Psyche’s electric thrusters. The rounded silhouette of the frame is inspired by the shape of the Psyche mission’s logo, and the bottom edge of the outline is accented by the mission colors.",https://psyche.ssl.berkeley.edu/gallery/chibi-psyche/,,,,,,
Alexa Jones,Computer Science & Mechanical Engineering,Rollin’ to 16 Psyche,2025-05-06,Air-Dry Clay w/ acrylic paint,"“Rollin’ to 16 Psyche” shows my imagining of NASA’s Psyche spacecraft as a hip-hop-style skater girl, bringing a groovy perspective to space exploration. This piece draws inspiration from my previous project, “Psyche’s Cosmic Groove,” an animation where I interpret the spacecraft as a stylized “groovy” character skating through space to find 16 Psyche. This clay sculpture physically brings my character’s design to life, capturing her energy as she orbits (or, in this case, jumps over) the asteroid.

The design stays true to the spacecraft’s functionality and use of its scientific instruments while still being expressive and maintaining the hip-hop aesthetic. Her sunglasses mimic the triple-junction solar cells, while her rollerblades, powered by hall thrusters, propel her through space, flying through the air with a set of solar cell wings attached to her back.

The asteroid and Psyche character sculptures have a wireframe with an aluminum foil base for structure and stability. Air-dry clay was sculpted over this frame to form the final piece, and after a day of drying, the piece was hand-painted with acrylics to bring out the vibrant colors and details.

With Rollin’ to 16 Psyche, I wanted to merge scientific exploration with creative storytelling. I love being able to put my artistic spin on anything, really, and this space mission is no different. I intended to make space exploration seem fun and vibrant, and that’s not just something to study–it’s something to experience and imagine.",https://psyche.ssl.berkeley.edu/gallery/rollin-to-16-psyche/,,,,,,
Cameron Sacra,Computer Science & BA Studio Arts,Odyssey,2025-05-02,"Lino print – Paper, water-soluable printing ink","“Odyssey” is the first of two relief prints I’ve created to commemorate the relationship between the Psyche spacecraft and 16 Psyche the asteroid. It’s meant to function as a diptych with my other relief print, “Agape”. This piece portrays the spacecraft in repose as she makes the long, dark, and lonely journey towards the asteroid. She sleeps in a large patch of pure darkness, a space in which she is the only being for miles and miles. One of the first things I learned about the mission was about the sheer distance between 16 Psyche and its surrounding asteroids – it could have been thousands of years since the asteroid has been in close contact with anything else. It would most likely be the very first space object the spacecraft would encounter since leaving Earth. These revelations directly inspired this two-part series’ themes of loneliness, discovery, and love.",https://psyche.ssl.berkeley.edu/gallery/odyssey-2/,,,,,,
Jessica Hall,New Media Design,Psyche Customization Station,2025-04-30,3D interactive web experience; Spline,"The Psyche Customization Station is an interactive web experience that renders a 3D Psyche spacecraft-inspired avatar live in your browser. The Psyche mission, from its conception, development, launch, and its creative programs like Psyche Inspired, has always been about discovery and creativity. I aimed to capture that personal touch with the Psyche Customization Station, and give users the chance to see themselves in Psyche.

With 6 expressions, 8 body and wing colors, 9 wing designs, and 7 hat options, there are literally thousands of possible combinations of unique avatars that can be made. Additionally, the UI can be toggled on and off to allow users to save clean images of their creations. The customization station was built in Spline, a program with the capability of rendering 3D live in a web browser.",https://psyche.ssl.berkeley.edu/gallery/psyche-customization-station/,,,,,,
Nidhi Shah,Mechanical Engineering,Unearthing Psyche,2025-04-28,Colored Pencil on Wood,"“Unearthing Psyche” reimagines the Psyche mission not as a journey through space, but as an excavation into Earth itself. Rather than traveling outward, the spacecraft digs through layers of our planet to reach its core. The 16 Psyche asteroid is a metal world much like our planet’s core, and is likely to uncover truths about our own planet and its formation. The contrast between the asteroid’s textured, cratered surface and the fluid motion of the spacecraft’s descent reinforces the connection between space and Earth’s interior. The use of colored pencil on wood adds an organic texture, enhancing the sense of discovery. By challenging the perception of space exploration as purely outward-bound, this piece invites viewers to reconsider the ways we seek knowledge—not only by looking beyond, but also by delving inward. “Unearthing Psyche” suggests that space exploration is as much about understanding ourselves as it is about reaching the stars.",https://psyche.ssl.berkeley.edu/gallery/unearthing-psyche/,,,,,,
Jessica Gurney,Astronomy,Psyche Mission Orbit D Notebook,2025-04-25,Bookbinding,"The final book in the series is the Psyche Mission Orbit D Notebook. Orbit D in the mission is to study the elemental composition of the asteroid. Maps of elemental composition typically assign colors to different elements, making the map of the asteroid or planet take on this rainbow look. I wanted to somehow show the different color assignments to elements. In my mind I came up with a stained glass look using acrylic, so it would be like the three different colors of acrylic represent the distribution of three different elements.

I designed the stained glass sections, laser cut the acrylic, and used acrylic paint to color the pieces. Painting acrylic was challenging. LEDs were inset in the cover to light up the map, but when I held the acrylic to the lights the paint brush strokes were easily seen. I ended up doing a few more paint layers with a more natural dabbing motion to get a spotted effect which could then be interpreted as rocks or gems on the surface. The pieces were attached together with copper tape and solder to really bring out the stained glass look. Once I was satisfied I inset the piece in the book with UV resin.",https://psyche.ssl.berkeley.edu/gallery/psyche-mission-orbit-d-notebook/,,,,,,
Liz Phillips,Physics,Composition,2025-04-23,Collage,"“Composition” is a collage depicting the Psyche spacecraft as it flies over an abstract asteroid. Its title is a reference to the composition of the piece itself, the various materials of the collage, and the composite material of the Psyche asteroid.

The large geometric shapes and flowing curves of the piece were inspired by the art deco movement, with colors inspired by the Psyche mission logo and stained glass. The circular pattern is representative of the asteroid and its large craters, but it can be interpreted however the viewer likes. Psyche’s large solar panel wings stretch from corner-to-corner, with curves emphasizing the motion of the spacecraft as it sails and spins through space.

For this project I collected as much colorful paper as I could from all kinds of sources: magazines, packaging, junk mail, catalogs, flyers. In the spirit of collaboration, I asked all of my friends to contribute something to incorporate. Color gradients are a big part of this piece, which was a fun challenge to create using only solid blocks of color. The sharp and careful cuts of the foreground elements contrast against the loosely ripped paper for the background of space.",https://psyche.ssl.berkeley.edu/gallery/composition/,,,,,,
Hoang Nguyen,Astronomy,Fare Thee Well,2025-06-26,Digital Illustration,"As this series comes to a close, I wanted to end with a farewell to the spacecraft. I’ve cast off the gold frames from “The Artifact” and “Childhood of the Planets” because we’re returning to the real world, a scene from the relatively near future at the moment that the spacecraft will swing by Mars before going the rest of the way alone.
The ship in a bottle from “Anniversary” makes an appearance. Here I wanted Psyche and the Falcon Heavy to be somewhat cherubic in appearance despite their mechanical bodies, as if they were Earth’s own beloved children heading off on a trip. I elected not to show Earth’s or Mars’s faces in detail—you can’t pick them out of the bunch in “Childhood of the Planets” either, so I decided to continue with the sense of mystery surrounding the planets we’re most familiar with. Flower petals fall out of Earth’s sleeve, the planet that begets life, and Mars is clothed in a dusty veil.
The suspended stars from “Childhood of the Planets” return, but now the terrestrial planets are hidden among them—between Earth and Mars, there seems to be something twinkling like a traveler passing by worlds. Over in the distance, and over a bridge of clouds like a lamb’s wool, Psyche the asteroid, which in this series has appeared only in pictures within pictures, hangs impossibly large in the sky, the destination and the culmination of all the work that’s been done so far.",https://psyche.ssl.berkeley.edu/gallery/fare-thee-well/,,,,,,
Madelaine T. Vu,Neuroscience and Psychology,Psyche’s Touch,2025-04-17,Silicone Mold,"Psyche’s Touch was inspired by the spirit of human exploration within the Psyche mission. I wanted to capture something beyond the study of a planetary core — our innate desire to reach outward, to discover, to connect, and to be a part of something greater.

The piece began as a 3D printed model of the Psyche asteroid, which I modified using clay to create rippling waves that radiate from a handprint on the underside. These waves echo the idea that even a single touch can send energy outward, like curiosity or inspiration spreading through space and time.

I designed this piece to be held. It nestles into the palm, inviting quiet reflection and tactile connection. My hope is that when someone holds it, they feel a link not only to the asteroid and its mysteries but also to the mission, its people, and its soul.",https://psyche.ssl.berkeley.edu/gallery/psyches-touch/,,,,,,
Injir Batmunkh,Scientific Illustration and Visualization,Psyche Mission 101,2025-04-15,"Digital, Adobe animate, JavaScript, Github","For my third project, I wanted to challenge myself by trying something entirely new. Inspired by The Promise and Risks of Deep-Sea Mining scroll-motion infographic, I explored a similar storytelling approach to illustrate my curiosity about 16 Psyche’s soon-to-be-revealed appearance. As NASA’s Psyche mission approaches the asteroid, I wanted to create an engaging and interactive experience that highlights what we currently know and the discoveries that await. To bring this idea to life, I used Adobe Animate, JavaScript, and GitHub, integrating hand drawn illustrations into the animation. This was my first time working with scroll-motion animation, which made the project both exciting and challenging. I had to learn bunch of new stuff that failed for many times before finally working. The process took longer than expected due to the learning curve, but it was well worth it.",https://psyche.ssl.berkeley.edu/gallery/psyche-mission-101/,,,,,,
Carrie Geisler,Mechanical and Aerospace Engineering,How Big IS Psyche?,2025-04-09,Papercraft/ Pop-up Card,"This project, entitled “How Big IS Psyche?,” is a double tri-shutter card, which, much like the Psyche spacecraft, unfolds to be surprisingly large! When closed, the card features only the project title. Open it up, and the card expands to approximately three times its original size to display the Psyche spacecraft surrounded by fun facts about its unexpected size and weight. These fun facts answer the title question by comparing Psyche to the size and weight of everyday objects like a tennis court and an elephant!

The color scheme of the card is inspired by the Psyche mission patch. The background features color gradient paper reminiscent of both the mission patch and our galaxy and is intended to be an artistic interpretation of the space environment Psyche is traveling through. The spacecraft itself is made up of metallic silver paper for the bus, and a deep purple glitter paper for the solar arrays. The fun facts are organized on bright color blocks on either side of the spacecraft to help them stand out and are separated into size and weight.",https://psyche.ssl.berkeley.edu/gallery/how-big-is-psyche/,,,,,,
Brooke Flanagan,Graphic Design,Transformation,2025-04-07,Digital Anaglyph Art,"“Transformation” is a digital anaglyph piece where two images are created, one in red and the other in blue. Typically, these two images are of the same object at slightly different angles viewed together. The same is done here except with two forms of Psyche: one at the beginning of the myth and the other at the end. At the start, Psyche’s father is told by an oracle that Psyche would marry not a nobleman but a serpentine monster. She was then brought to the summit of a mountain in black funeral attire where her future husband would take her away. All of this was dictated by the jealous Aphrodite, the goddess of love. She sent her son, Eros, to shoot Psyche with an arrow of love so she would become infatuated with a monster. Yet, as soon as he saw Psyche, he accidentally pierced himself with his own arrow and could not follow his mother’s order. Now, compare this version of her at the end of the myth. By this point she had gone through several almost impossible trials created by Aphrodite, yet with a bit of divine help she overcame each challenge sent her way. Not only that, but she had transcended into a goddess and was now married to Eros, not a terrifying monster. She had gone against fate, curated for her by divine forces and beings. Psyche had transformed into someone not defined by what others wanted, but by what she wanted to be.",https://psyche.ssl.berkeley.edu/gallery/transformation/,,,,,,
Jessica Gurney,Astronomy,Psyche Mission Orbit C Notebook,2025-04-03,BookBinding,"Psyche Mission Orbit C Notebook is the third book in the series. Orbit C studies the gravity field around the asteroid, this book tries to capture what a gravity field does to space time with the conical inset. A gravity field bends around an area of mass drawing objects into its orbit. On the cover I added the Psyche spacecraft in purple silhouette just outside the gravity field to show it hadn’t been captured yet. The LED’s represent a spherical gravity field pattern, and the animation is the light falling into the asteroid, imitating the direction of acceleration.

To have a cone shaped cover was a challenging feat. The first problem I needed to tackle was how to inset the cone in the cover and still have the book open like normal. I needed to cut holes in the pages themselves centered with the middle of the cone, but because of the way I constructed the page signatures, I couldn’t cut them out individually. Not only would I need to cut 600+ circles, I’d have to do some crazy math to position 2 circles on 1 page that centers would vary by the thickness of the paper. So I decided to cut a single circle in each signature. After ruining 30 pieces of paper to various attempts with machines and craft knives, I had to settle for the old fashioned method of using scissors which didn’t give the crispest edges but it got the job done. The other challenge was blending the cone on the inside cover. When it was first constructed it looked like an ugly plastic thing had smashed through the cover, I needed it to look intentional. I had to create 3 identical pieces of marbled paper to have enough to cover the 2 end pages and the cone. It’s hard to duplicate patterns in marbling, so I chose the stone pattern which worked out better than expected because the seams disappeared into each other.",https://psyche.ssl.berkeley.edu/gallery/psyche-mission-orbit-c-notebook/,,,,,,
Veronica Keff,"Astrophysics, Minor in Mathematics",Origins,2025-03-31,"Digital comic (procreate), final version printed into foldable booklet","“Origins” reflects on the history of observational astronomy and what Psyche may tell us about Earth’s past. 10 square frames unfold in a similar fashion to the Psyche spacecraft’s solar arrays, the reader embarking on a journey through time: through pyramids and temples, telescopes and multispectral imagers, travelling beyond Mars towards the metallic asteroid 16 Psyche. This massive hunk of metal in the asteroid belt may share properties with Earth’s core, and scientists are tasked with retracing the history of Earth and the other terrestrial planets from an object 500 million kilometers away. The Psyche mission reveals a possible future full of scientific discovery while simultaneously recalling the past of our home planet – our origin story.

While making this piece, I wanted to include elements of cave paintings and use one of the first art forms in humanity to illustrate the story of how astronomy started, and where it may take us in the future. The colors and textures of this piece are inspired by the Cueva de las Manos hand-paintings. The combined effort of the Psyche team extends far into the vastness of space, beaming curiosity and discovery back to Earth.",https://psyche.ssl.berkeley.edu/gallery/origins/,,,,,,
Rebecca Farmer,BA in Music with an Emphasis in Composition,Journey to the Metal World,2025-03-28,Instrumental Pop Song Created in Logic Pro X,"The instrumental composition “Journey to the Metal World” is a fusion of cinematic pop, classical piano, and electronic elements, inspired by the metallic asteroid Psyche. Taking influence from the dynamic, genre-blending style of Tokio Myers, this piece embarks on a sonic voyage that mirrors the wonder, intensity, and solitude of deep-space exploration. The piece opens with a delicate yet haunting piano motif, representing the distant call of the unknown. Layers of pulsating synths and atmospheric textures emerge, evoking the vast expanse of space. A rhythmic, driving beat takes over, symbolizing the spacecraft’s descent, while metallic-sounding percussion and glitchy electronic flourishes create an otherworldly ambiance. In the final section, the music swells to a climactic fusion of electronic pulses and symphonic grandeur, embodying the thrill of discovery before fading into an ethereal, reflective outro—leaving the listener suspended in the weightless mystery of space.",https://psyche.ssl.berkeley.edu/gallery/journey-to-the-metal-world/,,,,,,
Madelaine T. Vu,Neuroscience and Psychology,Psyche Greeting Cards,2025-03-26,Digital,"For this project, I wanted to make some cute and simple greeting cards of the Psyche spacecraft. This was first inspired when one of our speakers mentioned how Psyche’s solar panels always points towards the sun. I made a small doodle of Psyche smiling towards the sun, thankful for its light. I wanted to play into the fun ways Psyche would exhibit its gratitude and excitement it experiences throughout its journey if it could.

Sometimes you just need to send someone a cute little card expressing little moments of positivity.",https://psyche.ssl.berkeley.edu/gallery/psyche-greeting-cards/,,,,,,
Jessica Hall,New Media Design,Sending Letters Home,2025-03-24,Collage/Acrylic painting on canvas; magazines; thrifted childrens' books; science books; book board; tinfoil; aluminum wire; copper wire; popsicle sticks; acrylic paint,"Sending Letters Home' is a collage that represents the carefully structured, collaborative effort of the Psyche mission, as well as the emotional experience of launching this spacecraft to an unfamiliar place and awaiting its feedback. The piece evokes feelings of nostalgia, inspiration, and hope for what's yet to come from the Psyche mission. There are a lot of intentional details, many of them very obscured by the painting's multitude of layers, that are built into this collage. The base of the painting was made from pages of old science books and texts about space travel, the solar system, the Earth, and other similar scientific topics. Additional texts and images of the stars were all taken from childrens' books about space, reflecting the childlike wonder and curiosity that inspires humanity to study space. Finally, the 3-dimensional aspect of this project represents the depth and layers behind the science and exploration of space. The concept of collage itself represents the idea that space exploration isn't just an answer to a question, but rather a resource to supplement us with the data and ideas to further a picture that we are only beginning to understand.",https://psyche.ssl.berkeley.edu/gallery/sending-letters-home/,,,,,,
Cameron Sacra,Computer Science & BA Studio Arts,Agape,2025-03-20,Linocut,"Agape' was directly inspired by the Psyche spacecraft's projected 2029 arrival at 16 Psyche and the illustrations of Alphonse Mucha. Both the spacecraft and the asteroid have been alone in space for a long, long time – Psyche will be the first celestial object that the spacecraft will encounter since its 2023 launch from Earth. I envisioned their first encounter as an intense one, full of happiness and relief. After being alone for so long, these two wayward entities have finally found one another, and Psyche cries in relief – neither spacecraft nor asteroid will be alone ever again.",https://psyche.ssl.berkeley.edu/gallery/agape/,,,,,,
Ash Soriano,Media Arts & Sciences,Letters to The Universe,2025-03-18,Digital – created in Procreate; printed & folded physically,"Letters to The Universe' is a printable mini zine that details a short note from Earth, telling the Universe to expect a guest— Psyche! For this piece, I wanted to depict a story that would personify the Psyche spacecraft, getting people to sympathize with Psyche's search for answers about our world. I was inspired by a lot of my other peer interns who approached their projects narratively! I loved the stories they had about their versions and interpretations of Psyche, so I wanted to try my hand at a creative approach— and what better way to do that than a mini booklet! I was also somewhat inspired by the Voyager Golden Record, since the 'letter' is addressed to an entity we may never get a response from. I created this piece digitally in Procreate, predominantly using colors from the official Psyche brand and logo.",https://psyche.ssl.berkeley.edu/gallery/letters-to-the-universe/,,,,,,
Therese Manesia Cook,Physics,Psyche's Wings,2025-03-05,Digital Art (Procreate),"Continuing on the theme of illustrating scale, my second painting, 'Psyche's Wings,' uses an imaginary scene on Earth to convey the size of the Psyche spacecraft and its extensive wingspan. It was my first time painting something this large, so it was a challenge and a learning experience for me! I started out small–when brainstorming this idea with tiny doodles on paper, I knew that I wanted to include characters in the scene to give viewers a relatable sense of scale and emotion. I imagined a character standing beneath the spacecraft, with her arms outstretched to mimic the great stretch of Psyche's solar panels. Perhaps her friend could be with her, looking up in awe. Once I had the gist of what I wanted to make, I used VR (Tiltbrush on Quest) to block out the composition with very simple stick figures. This allowed me to easily adjust the placement/posing of the characters and spacecraft, then snap test 'photos' of them using the in-app camera, all with real perspective in 3D. I was looking for something striking, and once I found a view I liked, I drew it out more carefully on a large canvas in Photoshop. At this stage, I referenced the available engineering 3D model of Psyche as well as cleanroom photos from NASA's online archive while drawing the spacecraft.",https://psyche.ssl.berkeley.edu/gallery/psyches-wings/,,,,,,
Madelaine T. Vu,Neuroscience and Psychology,Journey to the Lost Metal World,2025-02-28,D&D One-Shot Adventure; Digital art,"Journey to the Lost Metal World' began as a collection of vague and fun ideas blending Roman armor with elements of the Psyche spacecraft. It started with drafts of a painting that depicted Psyche, the goddess, blessing a knight wearing armor inspired by both concepts. While exploring ideas for the armor, I was inspired by Mary Pyrdol's Psyche Inspired piece, 'Psyche Metal Pins', which featured intricate metal brooches that resonated with my vision. This inspiration led to the creation of a corrupted version of the Psyche-inspired armor.",https://psyche.ssl.berkeley.edu/gallery/journey-to-the-lost-metal-world/,,,,,,
Liz Phillips,Physics,Magnetic,2025-02-26,Aluminum; Steel; Marble; Acrylic,"What does Psyche's magnetic field look like? This is one of the primary questions that NASA's Psyche mission seeks to answer. The sculpture 'Magnetic' is an artistic interpretation of a possible magnetic field simulated by the Psyche magnetometry team. Electromagnetic fields are often difficult to visualize on paper, since they are invisible to us. It is my hope that this physical model will allow viewers to experience a more tangible representation of these three-dimensional structures. Because of its unknown composition and formation history, it is likely that Psyche does not have only two poles like Earth does but rather multiple North and South poles scattered around the surface, creating many complex loops and interacting patterns. As the field lines emanate from the asteroid, they are pushed in one direction by the solar wind causing them to flatten on one side and elongate on the other. I created the sculpture using metal and stone materials to reflect Psyche's mixed composition. The asteroid is made of burnished aluminum, and the field lines are galvanized steel wire. Magnetic field lines never intersect and always form closed loops with no beginning or end, a property I kept in mind as I manipulated the loops into familiar yet abstract shapes. The subtle profile in silhouette resembles the Greek goddess Psyche surrounded by symbolic butterflies as her hair is blown back by the solar wind. The asteroid is supported on a clear acrylic rod to help produce the illusion that it is floating above the white marble base.",https://psyche.ssl.berkeley.edu/gallery/magnetic/,,,,,,
Aalijah Maria Ululani Johnson,BA Psychology and Art; BS in Computer Science,Psyche Inspired Activity Booklet,2025-02-21,Procreate; Adobe Fresco; Google Docs,"The 'Psyche Inspired Activity Booklet' is a creative and educational resource inspired by NASA's mission to 16 Psyche and wanting to connect with all ages. This mission provides an opportunity to further understand our world and solar system, and the booklet aims to share that excitement with everyone. The booklet features eight unique activities: coloring the Psyche asteroid, connecting the dots for the spacecraft design, the Psyche launch coloring sheet, mission component word search, spotting differences, designing your own spacecraft, navigating a path to Psyche maze, and a 16 piece jigsaw puzzle. Each activity invites participants to engage with the mission while fostering a sense of wonder about our universe. Created using Adobe Fresco, Procreate, and Google Docs, the booklet is lightweight and easy to download, making it perfect for classrooms, families, or individuals. The 'Psyche Inspired Activity Booklet' embodies the spirit of exploration and creativity, encouraging all of us to connect with space science in meaningful yet exciting ways.",https://psyche.ssl.berkeley.edu/gallery/psyche-inspired-activity-booklet/,,,,,,
Jessica Gurney,Astronomy,Psyche Mission Orbit B Notebook,2025-02-10,BookBinding,"The second book in the series is called Psyche Mission Orbit B Notebook. Orbit B is actually split into two phases: A, B1, D, C, B2. The main purpose of the orbits B is to create a map of the asteroid, and the orbits are split in two because of the position of the sunlight. I wanted to capture the 3D features from craters and rocks in some way on this book. I toyed around with different ideas but landed on using air dry clay. I also wanted to give a sense of the sun lighting up the asteroid and casting shadows. I captured this with the ring of light that brightens then darkens mimicking day and night. Very subtly I added tiny strips of silver foil along crevices, indicating the metal surface hidden under layers of rock, but this is most noticeable in person. The book features a false spine where an Arduino nano is hidden to control the LEDs. The cover is wrapped in black linen book cloth and the lettering is pasted on with silver foil. The interior is hand stitched, blank pages. The end sheets are handmade marbled paper with colors chosen from the Psyche logo.",https://psyche.ssl.berkeley.edu/gallery/psyche-mission-orbit-b-notebook/,,,,,,
Brooke Flanagan,Graphic Design,The Drink of the Gods/The Box of Eternal Beauty,2025-02-03,Digital Illustration,"The Box of Eternal Beauty' is an abstract digital illustration that depicts the moment Psyche opens the box, which supposedly contains part of Persephone's beauty. She opens the box, unleashing a cloud of black smoke that puts her in a coma. The second piece is titled 'The Drink of the Gods' and is another abstract digital illustration. Here the piece depicts the moment Psyche drinks Ambrosia causing her to shed her mortal form and become a goddess, allowing her to live together forever with Eros. The main symbol from the myth used throughout both pieces is the butterfly, as Psyche, the Goddess of Soul, is commonly depicted as possessing butterfly wings. A butterfly can be seen hovering over the chalice in 'The Drink of the Gods' when Psyche is about to ascend to godhood. Butterfly nebulas can also be seen bursting from the dark smoke in 'The Box of Eternal Beauty.' These nebulas, along with star fields contained in the spilled Ambrosia, were my way of adding ties to space and the beauty of the stellar objects scattered throughout the universe. Together these companion pieces depict a person's journey and the ups and downs that they experience. Many of these challenges and obstacles can feel consuming and overwhelming. Yet it is from these trials that a person can emerge stronger than before and accomplish objectives that they may have never been able to before.",https://psyche.ssl.berkeley.edu/gallery/the-drink-of-the-gods-the-box-of-eternal-beauty/,,,,,,
Hoang Nguyen,Astronomy,The Artifact,2025-01-27,Digital Illustration,"I continue drawing human analogies to the mission, which to me makes the whole thing feel more personal. Here I portray both the asteroid and the spacecraft that shares its name as humanoids, reusing the design from my first piece. The asteroid is recognizable from the positioning of the skeleton, which recalls Psyche's pose in a well-known depiction of the goddess being taken away by Eros. Likely formed from the frequent collisions in the early solar system, it is reduced to this unknowable metal core. The mechanical sheep jumping over the frame reminds us that this isn't a scene that has happened yet, just the android's dream; we're not sure yet if Psyche really is part of the core of a planetesimal or if it is differentiated at all. We follow the counterclockwise motion of the two sheep as if turning back time, taking us from the complete terrestrial planets to the mechanical sheep, like the spacecraft leaving the inner solar system, to following the organic sheep, as if chasing the asteroid of the same name, to the cores of the terrestrial planets—what the asteroid could have become and what we might learn about the planets from it. The Moon at the top of the frame, another witness of the chaotic early solar system, mirrors the eyes of the android and watches over this scene, a portrait of someone who is now forgotten to us.",https://psyche.ssl.berkeley.edu/gallery/the-artifact/,,,,,,
